First Name,Last Name,Position,Birth Year,Hockey Canada Registration Number,Guardian Parent 1 Email,Parent 2 Email,Division
Liam,Carter,F,2015,HC4820017,waschukd+liamcarter@gmail.com,waschukd+liamcarter2@gmail.com,U11 AA
Noah,Tremblay,F,2015,HC4820018,waschukd+noahtremblay@gmail.com,,U11 AA
Oliver,Bouchard,F,2015,HC4820019,waschukd+oliverbouchard@gmail.com,,U11 AA
Ethan,Gagnon,D,2015,HC4820020,waschukd+ethangagnon@gmail.com,waschukd+ethangagnon2@gmail.com,U11 AA
Lucas,Roy,F,2015,HC4820021,waschukd+lucasroy@gmail.com,,U11 AA
Mason,Cote,D,2016,HC4820022,waschukd+masoncote@gmail.com,,U11 AA
Logan,Bergeron,F,2015,HC4820023,waschukd+loganbergeron@gmail.com,waschukd+loganbergeron2@gmail.com,U11 AA
Jackson,Lavoie,D,2015,HC4820024,waschukd+jacksonlavoie@gmail.com,,U11 AA
Aiden,Fortin,F,2015,HC4820025,waschukd+aidenfortin@gmail.com,,U11 AA
Carter,Morin,F,2016,HC4820026,waschukd+cartermorin@gmail.com,,U11 AA
Owen,Belanger,D,2015,HC4820027,waschukd+owenbelanger@gmail.com,waschukd+owenbelanger2@gmail.com,U11 AA
Nathan,Girard,F,2015,HC4820028,waschukd+nathangirard@gmail.com,,U11 AA
Hudson,Caron,D,2015,HC4820029,waschukd+hudsoncaron@gmail.com,,U11 AA
Wyatt,Lefebvre,F,2016,HC4820030,waschukd+wyattlefebvre@gmail.com,,U11 AA
Leo,Pelletier,F,2015,HC4820031,waschukd+leopelletier@gmail.com,,U11 AA
Felix,Gauthier,D,2015,HC4820032,waschukd+felixgauthier@gmail.com,,U11 AA
Sawyer,Thibault,G,2015,HC4820033,waschukd+sawyerthibault@gmail.com,waschukd+sawyerthibault2@gmail.com,U11 AA
Beckett,Lemieux,G,2016,HC4820034,waschukd+beckettlemieux@gmail.com,,U11 AA
